AntiLa         
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            5.1909         0.949271       0.127783       5.27853        
1.9            1.18314        0.603029       0.62378        1.46717        
2.5            0.582079       1.7921         0.364361       1.91917        
3.25           0.247971       3.38188        0.31503        3.40556        
4.35           0.100684       4.26792        0.0880714      4.27001        
6.5            0.0322755      6.19076        0.104903       6.19174        
10             0.0174151      9.7742         0.0891024      9.77462        
