OLRatio        
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.55           6.73358        0.173687       12.3681        14.0833        
2.5            11.4587        0.862734       4.21467        12.2397        
3.25           8.83858        2.51993        3.43888        9.81308        
4.35           7.47058        3.48165        2.34792        8.56996        
