Lambda         
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            5.58008        0.636955       0.0633559      5.61667        
1.9            1.09547        0.590046       0.140984       1.25223        
2.5            0.565505       1.0656         0.218675       1.22602        
3.25           0.255157       2.86673        0.0653402      2.87881        
4.35           0.109815       3.95971        0.136375       3.96358        
6.5            0.0335141      7.1149         0.105422       7.11576        
10             0.0161863      9.94182        0.123294       9.9426         
