XLRatio        
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            3.40558        0.706671       4.40033        5.60895        
1.9            3.19413        0.843674       3.02956        4.48246        
2.5            2.95872        0.465792       0.409169       3.02298        
3.25           2.767          1.27845        0.41425        3.07609        
4.35           2.83711        0.551245       0.346397       2.91085        
6.5            3.12203        1.86294        0.162696       3.63924        
