LKRatio        
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            2.42697        0.414581       0.799663       2.58873        
1.9            3.16556        1.92989        0.500087       3.74103        
2.5            2.79958        2.32741        0.238008       3.64844        
3.25           2.53016        1.91594        0.176619       3.17864        
4.35           2.63241        2.5141         0.161572       3.64368        
6.5            2.2695         1.65488        0.254845       2.82032        
10             3.34698        0.994682       0.420195       3.51685        
